,PageRank,Airport_name,Airport_info
761,[3.99922104],TFS,"Tenerife Sur, Spain"
1747,[3.99641467],BEL,"Val De Cans Intl, Brazil"
2270,[3.98985552],MYY,"Miri, Malaysia"
840,[3.96410914],WIL,"Nairobi Wilson, Kenya"
3377,[3.94627819],ANI,"Aniak Airport, United States"
2434,[3.89625278],MCI,"Kansas City Intl, United States"
128,[3.87496348],YRT,"Rankin Inlet, Canada"
2118,[3.87195979],CMB,"Bandaranaike Intl Colombo, Sri Lanka"
857,[3.86327353],KRT,"Khartoum, Sudan"
2384,[3.85722021],SZB,"Subang-Sultan Abdul Aziz Shah Intl, Malaysia"
1911,[3.8530896],LPB,"El Alto Intl, Bolivia"
2897,[3.84992278],NGO,"Chubu Centrair Intl, Japan"
1149,[3.84383133],OPO,"Porto, Portugal"
385,[3.83551301],LTN,"Luton, United Kingdom"
1382,[3.82658808],SUV,"Nausori Intl, Fiji"
2273,[3.82647515],BKI,"Kota Kinabalu Intl, Malaysia"
2373,[3.81966621],KWE,"Longdongbao, China"
1854,[3.79675019],GYE,"Jose Joaquin De Olmedo Intl, Ecuador"
1655,[3.7780491],CJU,"Jeju Intl, South Korea"
2663,[3.77798862],BNA,"Nashville Intl, United States"
1469,[3.7767643],DMM,"King Fahd Intl, Saudi Arabia"
2348,[3.7665146],TSN,"Binhai, China"
271,[3.73895996],TUN,"Carthage, Tunisia"
846,[3.72838878],TIP,"Tripoli Intl, Libya"
2013,[3.69522172],TSE,"Astana Intl, Kazakhstan"
1510,[3.67673048],SYZ,"Shiraz Shahid Dastghaib Intl, Iran"
1181,[3.67101341],ESB,"Esenboga, Turkey"
383,[3.66072587],BRS,"Bristol, United Kingdom"
3051,[3.6557079],TNA,"Jinan, China"
1635,[3.6428425],ITM,"Osaka Intl, Japan"
198,[3.63887977],YZV,"Sept Iles, Canada"
2282,[3.60361027],MES,"Polonia, Indonesia"
1380,[3.59909184],RAR,"Rarotonga Intl, Cook Islands"
2542,[3.58099571],HOU,"William P Hobby, United States"
896,[3.56856093],GRO,"Girona, Spain"
17,[3.55245345],RKV,"Reykjavik, Iceland"
2879,[3.54401477],BPN,"Sepinggan, Indonesia"
157,[3.53283622],YWK,"Wabush, Canada"
4231,[3.52919107],HET,"Baita Airport, China"
1286,[3.52695624],MTY,"General Mariano Escobedo Intl, Mexico"
98,[3.5232779],YOW,"Ottawa Macdonald Cartier Intl, Canada"
1134,[3.43709623],MLA,"Luqa, Malta"
2429,[3.41491723],OAK,"Metropolitan Oakland Intl, United States"
635,[3.40886865],LUN,"Lusaka Intl, Zambia"
1143,[3.40598854],FAO,"Faro, Portugal"
396,[3.39479265],LCY,"City, United Kingdom"
1664,[3.39181283],OKA,"Naha, Japan"
1549,[3.38352967],ISB,"Chaklala, Pakistan"
412,[3.3834919],EMA,"Nottingham East Midlands, United Kingdom"
2432,[3.38082725],OGG,"Kahului, United States"
2353,[3.33253658],NNG,"Wuxu, China"
2449,[3.31772695],MEM,"Memphis Intl, United States"
760,[3.31091697],ACE,"Lanzarote, Spain"
784,[3.30785985],DKR,"Leopold Sedar Senghor Intl, Senegal"
1464,[3.30565437],BAH,"Bahrain Intl, Bahrain"
117,[3.30416854],YQT,"Thunder Bay, Canada"
1810,[3.30132722],SDU,"Santos Dumont, Brazil"
184,[3.2962601],YYR,"Goose Bay, Canada"
1656,[3.29580364],PUS,"Gimhae Intl, South Korea"
108,[3.29542795],YQB,"Quebec Jean Lesage Intl, Canada"
15,[3.29487363],KEF,"Keflavik International Airport, Iceland"
1336,[3.29331902],SAL,"El Salvador Intl, El Salvador"
508,[3.28587179],TOS,"Langnes, Norway"
2003,[3.28558322],SXM,"Princess Juliana Intl, Netherlands Antilles"
1808,[3.25368782],REC,"Guararapes Gilberto Freyre Intl, Brazil"
1061,[3.24711504],SKG,"Makedonia, Greece"
410,[3.22063894],NCL,"Newcastle, United Kingdom"
2349,[3.21927384],TYN,"Wusu, China"
1063,[3.21903174],BUD,"Ferihegy, Hungary"
3436,[3.21301545],SON,"Santo Pekoa International Airport, Vanuatu"
3495,[3.19880307],SYQ,"Tobias Bolanos International Airport, Costa Rica"
282,[3.19512705],CRL,"Brussels South, Belgium"
1042,[3.18207011],CFU,"Ioannis Kapodistrias Intl, Greece"
53,[3.1751052],YEV,"Inuvik Mike Zubko, Canada"
2364,[3.17035335],FOC,"Changle, China"
483,[3.16709751],BOO,"Bodo, Norway"
2647,[3.16690253],AUS,"Austin Bergstrom Intl, United States"
878,[3.16427629],LCA,"Larnaca, Cyprus"
1873,[3.14594828],CLO,"Alfonso Bonilla Aragon Intl, Colombia"
3213,[3.12724642],AZA,"Phoenix-Mesa Gateway, United States"
71,[3.1106502],YHZ,"Halifax Intl, Canada"
929,[3.09317542],TLS,"Blagnac, France"
2929,[3.08491124],SAH,"Sanaa Intl, Yemen"
2219,[3.07859583],HKT,"Phuket Intl, Thailand"
2317,[3.06314962],TSV,"Townsville, Australia"
3286,[3.05848566],KJA,"Emelyanovo, Russia"
510,[3.02917161],TRD,"Vaernes, Norway"
1521,[3.02342788],BEY,"Rafic Hariri Intl, Lebanon"
626,[3.02214048],DLA,"Douala, Cameroon"
1074,[3.00999461],CTA,"Catania Fontanarossa, Italy"
2596,[3.00112577],SAT,"San Antonio Intl, United States"
1114,[2.9621085],PSA,"Pisa, Italy"
7,[2.9585106],GOH,"Nuuk, Greenland"
623,[2.95712039],MRU,"Sir Seewoosagur Ramgoolam Intl, Mauritius"
2998,[2.94945147],BSL,"EuroAirport Basel-Mulhouse-Freiburg, Switzerland"
150,[2.94102916],YVP,"Kuujjuaq, Canada"
2601,[2.93880773],RDU,"Raleigh Durham Intl, United States"
2023,[2.93492762],GYD,"Heydar Aliyev, Azerbaijan"
1306,[2.91771704],TIJ,"General Abelardo L Rodriguez Intl, Mexico"
413,[2.91466859],KOI,"Kirkwall, United Kingdom"
2024,[2.91088489],YKS,"Yakutsk, Russia"
2301,[2.90569805],PEN,"Penang Intl, Malaysia"
239,[2.90022016],ABJ,"Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire"
2831,[2.89700183],DUT,"Unalaska, United States"
2966,[2.8820109],BIL,"Billings Logan International Airport, United States"
885,[2.87576519],SPU,"Split, Croatia"
2027,[2.86117809],KHV,"Novy, Russia"
1215,[2.84329056],BEG,"Beograd, Serbia"
2832,[2.83292459],MSY,"Louis Armstrong New Orleans Intl, United States"
2249,[2.83032307],DJJ,"Sentani, Indonesia"
1917,[2.81599616],VVI,"Viru Viru Intl, Bolivia"
2720,[2.80078271],SJC,"Norman Y Mineta San Jose Intl, United States"
904,[2.77512903],MAH,"Menorca, Spain"
1660,[2.77150848],GMP,"Gimpo, South Korea"
2887,[2.77091146],CNX,"Chiang Mai Intl, Thailand"
4312,[2.75507357],LHW,"Lanzhou Airport, China"
4059,[2.74025625],GAU,"Lokpriya Gopinath Bordoloi International Airport, India"
2940,[2.73129658],JAV,"Ilulissat, Greenland"
913,[2.72271355],VLC,"Valencia, Spain"
1883,[2.72102714],EOH,"Olaya Herrera, Colombia"
2788,[2.72086848],SMF,"Sacramento Intl, United States"
2464,[2.7136424],CVG,"Cincinnati Northern Kentucky Intl, United States"
2267,[2.71333562],KCH,"Kuching Intl, Malaysia"
4227,[2.70589129],NAY,"Beijing Nanyuan Airport, China"
1539,[2.7047758],LHE,"Allama Iqbal Intl, Pakistan"
1098,[2.69754204],BLQ,"Bologna, Italy"
2001,[2.69634333],CUR,"Hato, Netherlands Antilles"
1232,[2.69570691],PUJ,"Punta Cana Intl, Dominican Republic"
881,[2.69225301],DBV,"Dubrovnik, Croatia"
2964,[2.68756582],ABQ,"Albuquerque International Sunport, United States"
3063,[2.67312956],HAK,"Meilan, China"
1040,[2.66686197],KGS,"Kos, Greece"
305,[2.66578703],HAJ,"Hannover, Germany"
1198,[2.66552041],ADB,"Adnan Menderes, Turkey"
2193,[2.66494635],COK,"Cochin, India"
859,[2.66131977],DAR,"Mwalimu Julius K Nyerere Intl, Tanzania"
2689,[2.66095822],MKE,"General Mitchell Intl, United States"
1749,[2.65574017],PLU,"Pampulha Carlos Drummond De Andrade, Brazil"
3809,[2.65518569],YRL,"Red Lake Airport, Canada"
1772,[2.6532981],FOR,"Pinto Martins Intl, Brazil"
290,[2.64771642],SXF,"Schonefeld, Germany"
